ক্রম	নির্বাচনী এলাকার নম্বর ও নাম	প্রতিদ্ন্্বী প্রার্থী	রাজনৈতিক দল	প্রতীক	মন্তব্য
১	১ পঞ্চগড়-১	মোঃ মসিউর রহমান বাবুল	- ন্যাশনাল পিপলসূ পাটি	আম	
৯	১ পঞ্চগড়-১	মোঃ আনোয়ার সাদাত	স্বতন্ত্র	ট্রাক	
ত	১ পঞ্চগড়-১	মোঃ সিরাজুল ইসলাম	বাংলাদেশ ন্যাশনালিষ্ট ফ্রন্ট-বিএনএফ	টেলিভিশন	
৪	১ পঞ্চগড়-১	মোঃ নাঈমুজ্জামান ভূইয়ী	বাংলাদেশ আওয়ামী লীগ	নৌকা	
৫	১ পঞ্চগড়-১	মোঃ আব্দুল ওয়াদুদ বোদশা)	- বাংলাদেশ সুপ্রিম পাটি	একতারা	
৬	১ পঞ্চগড়-১	মোঃ আব্দুল মজিদ	বাংলাদেশ সাংস্কৃতিক মুক্তিজোট	ছড়ি	
৭	২ পঞ্চগড়-২	আহমাদ রেজা ফারুকী	- বাংলাদেশ সুপ্রিম পাটি	একতারা	
৮	২ পঞ্চগড়-২	মোঃ নুরুল ইসলাম সুজন	বাংলাদেশ আওয়ামী লীগ	নৌকা	
৯	২ পঞ্চগড়-২	মোঃ আব্দুল আজিজ	ভূণমূল বিএনপি	সোনালী আশি	
১০	২ পঞ্চগড়-২	মোঃ লুৎফর রহমান রিপন	- জাতীয় পাটি	লাঙ্গল	
৯৯	৩ ঠাকুরগীও-১	রমেশ চন্দ্র সেন	বাংলাদেশ আওয়ামী লীগ	নৌকা	
১২	৩ ঠাকুরগীও-১	মোঃ রেজাউর রাজী	- জাতীয় পাটি	লাঙ্গল	
১৩	৩ ঠাকুরগীও-১	মোঃ রফিকুল ইসলাম	ইসলামী এঁক্যজোট	মিনার	
৯৪	৩ ঠাকুরগীও-১	মোঃ রাজিউল ইসলাম	- ন্যাশনাল পিপলসূ পাটি	আম	
৯৫	৪ ঠাকুরগীও-২	মোছাঃ নুরুন নাহার বেগম	- জাতীয় পাটি	লাঙ্গল	
৯৬	৪ ঠাকুরগীও-২	মোছাঃ রিম্পা আক্তার	বাংলাদেশ কংগ্রেস	ডাৰ	
১৭	৪ ঠাকুরগীও-২	মোঃ মাজহারুল ইসলাম	বাংলাদেশ আওয়ামী লীগ	নৌকা	
১৮	৪ ঠাকুরগীও-২	মোঃ আলী আসলাম	স্বতন্ত্র	ট্রাক	
৯৯	৪ ঠাকুরগীও-২	মোঃ আব্দুল কাদের	স্বতন্ত্র	সোফা	
২০	৫ ঠাকুরগীও-৩	গোপাল চন্দ্র রায়	্স পার্টি ৩৭৭৩৭৭ বাংলাদেশের ওয়ার্কা	হাতুড়ী	
২৯	৫ ঠাকুরগীও-৩	হাফিজ উদ্দিন আহম্মেদ	- জাতীয় পাটি	লাঙ্গল	
২২	৫ ঠাকুরগীও-৩	এস,এম খলিলুর রহমান সরকার	বিকল্প ধারা বাংলাদেশ	কুলা	
২৩	৫ ঠাকুরগীও-৩	মোছাঃ আশা মনি	স্বতন্ত্র	ঈগল	
৭ ২৪	৬ দিনাজপুর-১	মনোরঞ্জন শীল গোপাল	বাংলাদেশ আওয়ামী লীগ	নৌকা	
২৫	৬ দিনাজপুর-১	আব্দুল হক	্স পার্টি ৩৭৭৩৭৭ বাংলাদেশের ওয়ার্কা	হাতুড়ী	
২৬	৬ দিনাজপুর-১	মোঃ শাহিনুর ইসলাম	- জাতীয় পাটি	লাঙ্গল	
২৭	৬ দিনাজপুর-১	মোঃ জাকারিয়া	স্বতন্ত্র	ট্রাক	
২৮	৬ দিনাজপুর-১	মোঃ জহ্রুল ইসলাম	- ন্যাশনাল পিপলসূ পাটি	আম	
২৯	৭ দিনাজপুর-২	আনোয়ার চৌধুরী জীবন	স্বতন্ত্র	ঈগল	
৩০	৭ দিনাজপুর-২	খালিদ মাহমুদ চৌধুরী	বাংলাদেশ আওয়ামী লীগ	নৌকা	
৩১	৭ দিনাজপুর-২	মোঃ মাহবুব আলম	- জাতীয় পাটি	লাঙ্গল	
৭ ৩২	৮ দিনাজপুর-৩	ইকবালুর রহিম	বাংলাদেশ আওয়ামী লীগ	নৌকা	
৩৩	৮ দিনাজপুর-৩	আহমেদ শফি রুবেল	- জাতীয় পাটি	লাঙ্গল	
৩৪	৮ দিনাজপুর-৩	মোঃ ফরহাদ আলম	ইসলামী এঁক্যজোট	মিনার	
৩৫	৮ দিনাজপুর-৩	আব্দুস সালাম	বাংলাদেশ মুসলিম লীগ	হাত (পাঞ্জা)	
৩৬	৮ দিনাজপুর-৩	পারুল সরকার লিনা	- ন্যাশনাল পিপলসূ পাটি	আম	
৩৭	৮ দিনাজপুর-৩	বিশ্বজিৎ কুমার ঘোষ	স্বতন্ত্র	ট্রাক	
৩৮	৯ দিনাজপুর-৪	আবুল হাসান মাহমুদ আলী	বাংলাদেশ আওয়ামী লীগ	নৌকা	
৩৯	৯ দিনাজপুর-৪	মোঃ তারিকুল ইসলাম তারিক	স্বতন্ত্র	ট্রাক	
৪০	৯ দিনাজপুর-৪	মোঃ মোনাজাত চৌধুরী	- জাতীয় পাটি	লাঙ্গল	
৪৯	৯ দিনাজপুর-৪	মোসাঃ আজিজা সুলতানা	- ন্যাশনাল পিপলসূ পাটি	আম	
৪৯	১০ দিনাজপুর-৫	মোস্তাফিজুর রহমান	বাংলাদেশ আওয়ামী লীগ	নৌকা	
৪৩	১০ দিনাজপুর-৫	মোঃ শওকত আলী	- ন্যাশনাল পিপলসূ পাটি	আম	
৪৪	১০ দিনাজপুর-৫	মোঃ নুরুল ইসলাম	- জাতীয় পাটি	লাঙ্গল	
৪৫	১০ দিনাজপুর-৫	মোঃ হযরত আলী বেলাল	স্বতন্ত্র	ট্রাক	
৪৬	১১ দিনাজপুর-৬	আজিজুল হক চৌধুরী	স্বতন্ত্র	ট্রাক	
৪৭	১১ দিনাজপুর-৬	মোঃ শাহ আলম বিশ্বাস	জাতীয় সমাজতান্ত্রিক দল - জাসদ	মশাল	
৪৮	১১ দিনাজপুর-৬	মোঃ শিবলী সাদিক	বাংলাদেশ আওয়ামী লীগ	নৌকা	
৪৯	১২ নীলফামারী-১	মোঃ আফতাব উদ্দিন সরকার	বাংলাদেশ আওয়ামী লীগ	নৌকা	
৫০	১২ নীলফামারী-১	মোঃ সিরাজুল ইসলাম	বাংলাদেশ ন্যাশনালিষ্ট ফ্রন্ট-বিএনএফ	টেলিভিশন	
৫১	১২ নীলফামারী-১	মোঃ তছলিম উদ্দিন	টজাতীয় পার্টি	লাঙ্গল	
৫২	১২ নীলফামারী-১	জাফর ইকবাল সিদ্দিকী	বাংলাদেশ জাতীয়তাবাদী আন্দোলন	নোঙ্গার	
৫৩	১২ নীলফামারী-১	মোঃ ইমরান কবির চৌধুরী	স্বতন্ত্র	ট্রাক	
৫৪	১২ নীলফামারী-১	মোঃ মখদুম আজম মাশরাফী	- জাতীয় পাটি-জেপি	বাইসাইকেল	
৫৫	১২ নীলফামারী-১	এ্যাডঃ এন কে আলম চৌধুরী	ভূণমূল বিএনপি	সোনালী আশি	
৫৬	১৩ নীলফামারী-২	আসাদুজ্জামান নুর	বাংলাদেশ আওয়ামী লীগ	নৌকা	
৫৭	১৩ নীলফামারী-২	মোঃ জয়নাল আবেদীন	স্বতন্ত্র	ট্রাক	
৫৮	১৩ নীলফামারী-২	মোঃ শাহজাহান আলী চৌধুরী	- জাতীয় পাটি	লাঙ্গল	
৫৯	১৩ নীলফামারী-২	মোঃ মোরছালিন ইসলাম	বাংলাদেশ কংগ্রেস	ডাৰ	
৬০	১৪ নীলফামারী-৩	মো: খলিলুর রহমান	ভূণমূল বিএনপি	সোনালী আশি	
৬৯	১৪ নীলফামারী-৩	কাজী ফারুক কাদের	স্বতন্ত্র	কেটলি	
৭ ৬২	১৪ নীলফামারী-৩	মো: বাদশা আলমগীর	- বাংলাদেশ কল্যাণ পাটি	হাতঘড়ি	
৬ত	১৪ নীলফামারী-৩	রানা মোহাম্মদ সোহেল	- জাতীয় পাটি	লাঙ্গল	
৬৪	১৪ নীলফামারী-৩	মো: সাদ্দাম হোসেন (পাভেল)	স্বতন্ত্র	কীচি	
৬	১৪ নীলফামারী-৩	মো: হুকুম আলী খান	স্বতন্ত্র	ট্রাক	
৬৬	১৪ নীলফামারী-৩	মার্জিয়া সুলতানা	স্বতন্ত্র	ঈগল	
৬৭	১৪ নীলফামারী-৩	মো: আবু সাইদ শোমীম)	স্বতন্ত্র	মোড়া	
৬৮	১৫ নীলফামারী-৪	মোঃ সিদ্দিকুল আলম	স্বতন্ত্র	কীচি	
৬৯	১৫ নীলফামারী-৪	মোঃ আব্দুল হাই সরকার	- ন্যাশনাল পিপলসূ পাটি	আম	
৭০	১৫ নীলফামারী-৪	আব্দুল্লাহ আল নাসের	ভূণমূল বিএনপি	সোনালী আশি	
৭১	১৫ নীলফামারী-৪	আহসান আদেলুর রহমান	- জাতীয় পাটি	লাঙ্গল	
৭২	১৫ নীলফামারী-৪	মোঃ আজিজুল হক	জাতীয় সমাজতান্ত্রিক দল - জাসদ	মশাল	
৭৩	১৫ নীলফামারী-৪	মোঃ মোখছেদুল মোমিন	স্বতন্ত্র	ট্রাক	
৭৪	১৫ নীলফামারী-৪	এম সাজেদুল করিম	বাংলাদেশ জাতীয়তাবাদী আন্দোলন	নোঙ্গর	
৭৫	৭ ১৬ লালমনিরহাট-১	মোঃ মোতাহার হোসেন	বাংলাদেশ আওয়ামী লীগ	নৌকা	
৭৬	৭ ১৭ লালমনিরহাট-১	মোঃ আতাউর রহমান প্রধান	স্বতন্ত্র	ঈগল	
৭৭	৭ ১৬ লালমনিরহাট-১	হাবিব মোঃ ফারুক	জাতীয় সমাজতান্ত্রিক দল - জাসদ	মশাল	
৭৮	৭ ১৬ লালমনিরহাট-১	মোঃ আজম আজহার হোসেন	বাংলাদেশ ইসলামী ফ্রন্ট	মোমবাতি	
৭৯	৭ ১৬ লালমনিরহাট-১	কে এম আমজাদ হোসেন তাজু	স্বতন্ত্র	ট্রাক	
৮০	১৭ লালমনিরহাট-২	মোঃ মমতাজ আলী	স্বতন্ত্র	ট্রাক	
৮৯	১৭ লালমনিরহাট-২	মোঃ শরিফুল ইসলাম	- ন্যাশনাল পিপলসূ পাটি	আম	
৮	১৭ লালমনিরহাট-২	মোঃ দেলোয়ার হোসেন	- জাতীয় পাটি	লাঙ্গল	
৮াত	১৭ লালমনিরহাট-২	নুরুজ্জামান আহমেদ	বাংলাদেশ আওয়ামী লীগ	নৌকা	
৮৪	১৭ লালমনিরহাট-২	মো: রজব আলী	- জাকের পাটি	গোলাপ ফুল	
৮৫	১৭ লালমনিরহাট-২	মোঃ দেলাব্মর হোসেন	বাংলাদেশ কংগ্রেস	ডাৰ	
৮৬	১৭ লালমনিরহাট-২	মোঃ সিরাজুল হক	স্বতন্ত্র	ঈগল	
৮৭	১৮ লালমনিরহাট-৩	মোঃ মতিয়ার রহমান	বাংলাদেশ আওয়ামী লীগ	নৌকা	
৮৮	১৮ লালমনিরহাট-৩	আবু তৈয়ব মোঃ আজমুল হক পাটোয়ারী	জাতীয় সমাজতান্ত্রিক দল - জাসদ	মশাল	
৮৯	১৮ লালমনিরহাট-৩	মোঃ সকিউজ্জামান মিয়া	- জাকের পাটি	গোলাপ ফুল	
৯০	১৮ লালমনিরহাট-৩	মোঃ আশরাফুল আলম	বাংলাদেশের সাম্যবাদী দল (এম.এল)	চাকা	
৯১	১৮ লালমনিরহাট-৩	মোঃ জাহিদ হাসান	- জাতীয় পাটি	লাঙ্গল	
৭ ৯২৯	১৮ লালমনিরহাট-৩	মোঃ জাবেদ হোসেন	স্বতন্ত্র	ঈগল	
৯৩	১৮ লালমনিরহাট-৩	শ্ত্রী হরিশ চন্দ্র রায়	- ন্যাশনাল পিপলসূ পাটি	আম	
৯৪	১৮ লালমনিরহাট-৩	মোঃ শামীম আহাম্মেদ চৌধুরী	ভূণমূল বিএনপি	সোনালী আশি	
৯৫	১৯ রংপুর-১	মোঃ মসিউর রহমান রাঙ্গা	স্বতন্ত্র	ট্রাক	
৯৬	১৯ রংপুর-১	মোঃ শাহিনুর আলম	স্বতন্ত্র	ঈগল	
৯৭	১৯ রংপুর-১	হোসেন মকবুল শাহরিয়ার	- জাতীয় পাটি	লাঙ্গল	
৯৮	১৯ রংপুর-১	মোঃ আসাদুজ্জামান	স্বতন্ত্র	কেটলি	
৯৯	১৯ রংপুর-১	মোঃ মোশারফ হোসেন	স্বতন্ত্র	মোড়া	
১০০	১৯ রংপুর-১	মোঃ বখতিয়ার হোসেন	্স পার্টি ৩৭৭৩৭৭ বাংলাদেশের ওয়ার্কা	হাতুড়ী	
১৯০১	১৯ রংপুর-১	মোঃ বদরুদ্দোজা চৌধুরী	ভূণমূল বিএনপি	সোনালী আশি	
১০২	১৯ রংপুর-১	মোঃ হাবিবুর রহমান	- ন্যাশনাল পিপলসূ পাটি	আম	
৯০৩	১৯ রংপুর-১	শ্যামলী রায়	বাংলাদেশ কংগ্রেস	ডাৰ	
১০৪	২০ রংপুর-২	আনিছুল ইসলাম মন্ডল	- জাতীয় পাটি	লাঙ্গল	
৯০৫	২০ রংপুর-২	আবুল কালাম মোঃ আহসানুল হক চৌধুরী	বাংলাদেশ আওয়ামী লীগ	নৌকা	
১০৬	২০ রংপুর-২	বিশ্বনাথ সরকার	স্বতন্ত্র	ট্রাক	
১০৭	২১ রংপুর-৩	মোছাঃ আনোয়ারা ইসলাম রানী	স্বতন্ত্র	ঈগল	
১০৮	২১ রংপুর-৩	গোলাম মোহাম্মদ কাদের	- জাতীয় পাটি	লাঙ্গল	
৯০৯	২১ রংপুর-৩	মোঃ সহিদুল ইসলাম	জাতীয় সমাজতান্ত্রিক দল - জাসদ	মশাল	
১৯১০ ৩	২১ রংপুর-৩	শফিউল আলম	- ন্যাশনাল পিপলসূ পাটি	আম	
১৯৯	২১ রংপুর-৩	মোঃ আব্দুর রহমান (রেজু)	- বাংলাদেশ সুপ্রিম পাটি	একতারা	
১৯২	২১ রংপুর-৩	মোঃ একরামুল হক	বাংলাদেশ কংগ্রেস	ডাৰ	
৯১৩	২২ রংপুর-৪	মোস্তফা সেলিম	- জাতীয় পাটি	লাঙ্গল	
৯৯৪	২২ রংপুর-৪	টিপু মুনশি	বাংলাদেশ আওয়ামী লীগ	নৌকা	
৯১৫	২২ রংপুর-৪	মোঃ সিরাজুল ইসলাম	বাংলাদেশ কংগ্রেস	ডাৰ	
৯১৬	২৩ রংপুর-৫	মোঃ আনিছুর রহমান	- জাতীয় পাটি	লাঙ্গল	
১১৭	২৩ রংপুর-৫	রাশেক রহমান	বাংলাদেশ আওয়ামী লীগ	নৌকা	
৯৯৮	২৩ রংপুর-৫	মোঃ আব্দুল হালিম মন্ডল	কৃষক শ্রমিক জনতা লীগ	গামছা	
১৯৯	২৩ রংপুর-৫	মোঃ মাহবুবুর রহমান	বাংলাদেশ কংগ্রেস	ডাৰ	
১২০	২৩ রংপুর-৫	৭ মোঃ আব্দুল ওয়াদুদ মিয়া	- বাংলাদেশ সুপ্রিম পাটি	একতারা	
১২১	২৩ রংপুর-৫	মোঃ এনামুল হক	ইসলামিক ফ্রন্ট বাংলাদেশ	চেয়ার	
১২২	২৩ রংপুর-৫	মোঃ জাকির হোসেন সরকার	স্বতন্ত্র	ট্রাক	
১২৩	২৩ রংপুর-৫	আব্দুল বাতেন	বাংলাদেশ ন্যাশনালিষ্ট ফ্রন্ট-বিএনএফ	টেলিভিশন	
১২৪	২৪ রংপুর-৬	মোঃ সিরাজুল ইসলাম	স্বতন্ত্র	ট্রাক	
১২৫	২৪ রংপুর-৬	তাকিয়া জাহান চৌধুরী	স্বতন্ত্র	কীচি	
১২৬	২৪ রংপুর-৬	শিরীন শারমিন চৌধুরী	বাংলাদেশ আওয়ামী লীগ	নৌকা	
৭ ১২৭	২৪ রংপুর-৬	মোঃ হুমায়ুন ইজাজ	- ন্যাশনাল পিপলসূ পাটি	আম	
১২৮	২৪ রংপুর-৬	মোঃ নূর আলম মিয়া	- জাতীয় পাটি	লাঙ্গল	
১২৯	২৪ রংপুর-৬	মোঃ জাকারিয়া হোসেন	- বাংলাদেশ কল্যাণ পাটি	হাতঘড়ি	
১৩০	২৪ রংপুর-৬	মোঃ মাহবুল আলম	বাংলাদেশ কংগ্রেস	ডাৰ	
৯৩৯	২৫ কুড়িগ্রাম-১	একে এম মোস্তাফিজুর রহমান	- জাতীয় পাটি	লাঙ্গল	
১৩২	২৫ কুড়িগ্রাম-১	কাজী মোঃ লতিফুল কবীর	বাংলাদেশ তরিকত ফেডারেশন	ফুলের মালা	
৯৩৩	২৫ কুড়িগ্রাম-১	মোঃ আব্দুল হাই	- জাকের পাটি	গোলাপ ফুল	
৯৩৪	২৫ কুড়িগ্রাম-১	মোঃ নুর মোহাম্মদ	- ন্যাশনাল পিপলসূ পাটি	আম	
৯৩৫	২৫ কুড়িগ্রাম-১	মোঃ মনিরুজ্জামান খান ভাসানী	- বাংলাদেশ সুপ্রিম পাটি	একতারা	
৯৩৬	২৬ কুড়িগ্রাম-২	মোঃ হামিদুল হক খন্দকার	স্বতন্ত্র	ট্রাক	
১৩৭	২৬ কুড়িগ্রাম-২	মোঃ আব্দুস ছালাম	- ন্যাশনাল পিপলসূ পাটি	আম	
৯৩৮	২৬ কুড়িগ্রাম-২	পনির উদ্দিন আহমেদ	- জাতীয় পাটি	লাঙ্গল	
১৩৯	২৬ কুড়িগ্রাম-২	মোঃ আঃ কুদ্দুস মিয়া	্স পার্টি ৩৭৭৩৭৭ বাংলাদেশের ওয়ার্কা	হাতুড়ী	
১৪০	২৬ কুড়িগ্রাম-২	মোঃ মকবুল হোসেন	বাংলাদেশ কংগ্রেস	ডাৰ	
৯৪১ ৩	২৭ কুড়িগ্রাম-৩	আব্দুস সোবহান	- জাতীয় পাটি	লাঙ্গল	
১৪২	২৭ কুড়িগ্রাম-৩	মোসাদ্দেকুল আলম	- ন্যাশনাল পিপলসূ পাটি	আম	
৯৪৩	২৭ কুড়িগ্রাম-৩	সৌমেন্দর প্রসাদ পান্ডে	বাংলাদেশ আওয়ামী লীগ	নৌকা	
১৪৪	২৭ কুড়িগ্রাম-৩	ডাঃ আন্ধাছ আলী সরকার	স্বতন্ত্র	ট্রাক	
১৪৫	২৭ কুড়িগ্রাম-৩	মোঃ আন্দুল বাতেন	ভূণমূল বিএনপি	সোনালী আশি	
৯৪৬	২৭ কুড়িগ্রাম-৩	মোঃ হাবিবুর রহমান	কৃষক শ্রমিক জনতা লীগ	গামছা	
১৪৭	২৭ কুড়িগ্রাম-৩	মোঃ সাফিউর রহমান	বাংলাদেশ জাতীয়তাবাদী আন্দোলন	নোঙ্গার	
১৯৪৮	২৮ কুড়িগ্রাম-৪	মোঃ রুহুল আমিন	- জাতীয় পাটি-জেপি	বাইসাইকেল	
৯৪৯	২৮ কুড়িগ্রাম-৪	মোঃ মজিবর রহমান বঙ্পবাসী	স্বতন্ত্র	ঈগল	
৯৫০	২৮ কুড়িগ্রাম	মোঃ শহিদুল ইসলাম শালু	স্বতন্ত্র	ট্রাক	
৯৫৯	২৮ কুড়িগ্রাম	মোঃ মাছুম ইকবাল	স্বতন্ত্র	কীচি	
১৫২	২৮ কুড়িগ্রাম	এ কে এম সাইফুর রহমান	- জাতীয় পাটি	লাঙ্গল	
৯৫৩	২৮ কুড়িগ্রাম-৪	মোঃ বিপ্লব হাসান	বাংলাদেশ আওয়ামী লীগ	নৌকা	
১৫৪	২৮ কুড়িগ্রাম-৪	মোহাম্মদ আবু শামীম হাবীব	কৃষক শ্রমিক জনতা লীগ	গামছা	
৯৫	২৮ কুড়িগ্রাম	মোঃ আতিকুর রহমান খান	ভূণমূল বিএনপি	সোনালী আশি	
১৫৬	২৮ কুড়িগ্রাম-৪	মোঃ আব্দুল হামিদ	বাংলাদেশ কংগ্রেস	ডাৰ	
১৫৭	২৯ গাইবান্ধা-১	মোঃ জয়নাল আবেদীন	স্বতন্ত্র	ট্রাক	
১৯৫৮	২৯ গাইবান্ধা-১	মোঃ আবু বন্ধর সিদ্দিক	কৃষক শ্রমিক জনতা লীগ	গামছা	
৯৫৯	২৯ গাইবান্ধা-১	মোঃ গোলাম আহসান হাবীব মাসুদ	জাতীয় সমাজতান্ত্রিক দল - জাসদ	মশাল	
৯৬০	২৯ গাইবান্ধা-১	মোঃ ফখরুল হাসান	বাংলাদেশ কংগ্রেস	ডাৰ	
১৬৯	২৯ গাইবান্ধা-১	মোঃ ওমর ফারুক সিজার	বাংলাদেশ ন্যাশনালিষ্ট ফ্রন্ট-বিএনএফ	টেলিভিশন	
১৬২	২৯ গাইবান্ধা-১	শামীম হায়দার পাটোয়ারী	টজাতীয় পার্টি	লাঙ্গল	
১৬৩	২৯ গাইবান্ধা-১	মোছাঃ আইরিন আক্তার	বাংলাদেশ কল্যাণ পার্টি	হাতঘড়ি	
৯৬৪	২৯ গাইবান্ধা-১	খন্দকার রবিউল ইসলাম	বাংলাদেশ সাংস্কৃতিক মুক্তিজোট	ছড়ি	
১৬৫	২৯ গাইবান্ধা-১	আব্দুল্লাহ নাহিদ নিগার	স্বতন্ত্র	টেকি	
৯৬৬	২৯ গাইবান্ধা-১	মর্জিনা খান	ন্যাশনাল পিপলসূ পার্টি	আম	
১৬৭	৩০ গাইবান্ধা-২	শাহ সারোয়ার কবীর	স্বতন্ত্র	ট্রাক	
৯৬৮	৩০ গাইবান্ধা-২	মোঃ আব্দুর রশিদ সরকার	টজাতীয় পার্টি	লাঙ্গল	
১৬৯	৩০ গাইবান্ধা-২	মোছাঃ মাসুমা আক্তার	স্বতন্ত্র	ঈগল	
১৭০	৩০ গাইবান্ধা-২	মোঃ গোলাম মারুফ মনা	জাতীয় সমাজতান্ত্রিক দল - জাসদ	মশাল	
১৭১	৩০ গাইবান্ধা-২	জিয়া জামান খান	ন্যাশনাল পিপলসূ পার্টি	আম	
৭ ১৭২৯	৩১ গাইবান্ধা-৩	মোঃ আজিজার রহমান	স্বতন্ত্র	টেকি	
১৭৩	৩১ গাইবান্ধা-৩	মোঃ মোস্তফা মনিরুজ্জামান	কৃষক শ্রমিক জনতা লীগ	গামছা	
১৭৪	৩১ গাইবান্ধা-৩	উম্মে কুলসুম স্মৃতি	বাংলাদেশ আওয়ামী লীগ	নৌকা	
১৭৫	৩১ গাইবান্ধা-৩	মোঃ মনজুরুল হক	বাংলাদেশ জাতীয়তাবাদী আন্দোলন	নোঙ্গর	
১৭৬	৩১ গাইবান্ধা-৩	এস এম খাদেমুল ইসলাম খুদি	জাতীয় সমাজতান্ত্রিক দল - জাসদ	মশাল	
১৭৭	৩১ গাইবান্ধা-৩	মোঃ মফিজুল হক সরকার	স্বতন্ত্র	ঈগল	
১৭৮	৩১ গাইবান্ধা-৩	মোঃ জাহাঙ্গীর আলম	ন্যাশনাল পিপলসূ পার্টি	আম	
১৭৯	৩১ গাইবান্ধা-৩	মোঃ সাহারিয়া খীন	স্বতন্ত্র	ট্রাক	
৯৮০	৩১ গাইবান্ধা-৩	মাহমুদুল হক	বাংলাদেশ কল্যাণ পার্টি	হাতঘড়ি	
৯৮৯	৩১ গাইবান্ধা-৩	মইনুর রাব্বী চৌধুরী	টজাতীয় পার্টি	লাঙ্গল	
১৮৯	৩২ গাইবান্ধা-৪	মোঃ আবুল কালাম আজাদ	বাংলাদেশ আওয়ামী লীগ	নৌকা	
৯৮৩	৩২ গাইবান্ধা-৪	কাজী মোঃ মশিউর রহমান	টজাতীয় পার্টি	লাঙ্গল	
৯৮৪	৩২ গাইবান্ধা-৪	মোঃ মনোয়ার হোসেন চৌধুরী	স্বতন্ত্র	ট্রাক	
৯৮	৩৩ গাইবান্ধা-৫	মাহমুদ হাসান	বাংলাদেশ আওয়ামী লীগ	নৌকা	
৯৮৬	৩৩ গাইবান্ধা-৫	মোঃ শামসুল আজাদ শীতল	স্বতন্ত্র	ঈগল	
১৮৭	৩৩ গাইবান্ধা-৫	মোঃ আতাউর রহমান	টজাতীয় পার্টি	লাঙ্গল	
১৮৮	৩৩ গাইবান্ধা-৫	মোঃ জাহাঙ্গীর আলম	বিকল্প ধারা বাংলাদেশ	কুলা	
৯৮৯	৩৩ গাইবান্ধা-৫	মোঃ ফারুক মিয়া	ন্যাশনাল পিপলসূ পার্টি	আম	
৯৯০ ৩	৩৩ গাইবান্ধা-৫	ফারজানা রাবী বুবলী	স্বতন্ত্র	ট্রাক	
১৯৯	৩৪ জয়পুরহাট-১	সামছুল আলম দুদু	বাংলাদেশ আওয়ামী লীগ	নৌকা	
১৯২	৩৪ জয়পুরহাট-১	মোঃ রুকুনুজ্জামান	ন্যাশনাল পিপলসূ পার্টি	আম	
১৯৩	৩৪ জয়পুরহাট-১	এ কে এম মোয়াজ্জেম হোসেন	টজাতীয় পার্টি	লাঙ্গল	
৯৯৪	৩৪ জয়পুরহাট-১	এ কে এম রায়হান মন্ডল মনু	স্বতন্ত্র	ট্রাক	
৯৯৫	৩৪ জয়পুরহাট-১	মোঃ মাসুম	ভূণমূল বিএনপি	সোনালী আশি	
১৯৬	৩৪ জয়পুরহাট-১	আব্দুল আজিজ মোল্লা	স্বতন্ত্র	কীচি	
১৯৭	৩৪ জয়পুরহাট-১	মোঃ জহ্রুল ইসলাম	স্বতন্ত্র	ঈগল	
৯৯৮	৩৫ জয়পুরহাট-২	আবু সাঈদ আল মাহমুদ স্বপন	বাংলাদেশ আওয়ামী লীগ	নৌকা	
৯৯৯	৩৫ জয়পুরহাট-২	মোঃ আতোয়ার রহমান মন্ডল	স্বতন্ত্র	ট্রাক	
২০০	৩৫ জয়পুরহাট-২	মোঃ আব্দুর রাজ্জাক সরদার	স্বতন্ত্র	ঈগল	
২০১	৩৫ জয়পুরহাট-২	মোঃ আবু সাঈদ	ন্যাশনাল পিপলসূ পার্টি	আম	
২০৯	৩৫ জয়পুরহাট-২	আবুল খায়ের মোঃ সাখাওয়াত হোসেন	জাতীয় সমাজতান্ত্রিক দল - জাসদ	মশাল	
২০৩	৩৫ জয়পুরহাট-২	মোঃ গোলাম মাহফুজ চৌধুরী	স্বতন্ত্র	কাটি	
২০৪	৩৫ জয়পুরহাট-২	মোঃ নয়ন	বাংলাদেশ কংগ্রেস	ডাৰ	
২০৫	৩৫ জয়পুরহাট-২	আবু সাইদ নুরুল্লাহ্‌	টজাতীয় পার্টি	লাঙ্গল	
২০৬	ত৬ বগুড়া-১	মোঃ শোকরানা	স্বতন্ত্র	কেটলি	
২০৭	ত৬ বগুড়া-১	মোঃ ইয়াসির রহমতুল্লাহ ইন্তাজ	স্বতন্ত্র	ট্রাক	
২০৮	ত৬ বগুড়া-১	মোছাঃ শাহাজাদী আলম লিপি	স্বতন্ত্র	তবলা	
২০৯	ত৬ বগুড়া-১	মোঃ হাসান আকবর আফজল	জাতীয় সমাজতান্ত্রিক দল - জাসদ	মশাল	
২১০	ত৬ বগুড়া-১	সাহাদারা মান্নান	বাংলাদেশ আওয়ামী লীগ	নৌকা	
২১১	ত৬ বগুড়া-১	এন এম আবু জিহাদ	ভূণমূল বিএনপি	সোনালী আশি	
৭ ২১২	ত৬ বগুড়া-১	মোঃ নজরুল ইসলাম	বাংলাদেশ খেলাফত আন্দোলন	বটগাছ	
২১৩	ত৬ বগুড়া-১	মোঃ আনোয়ার হোসেন	বাংলাদেশ তরিকত ফেডারেশন	ফুলের মালা	
২১৪	ত৬ বগুড়া-১	মোঃ গোলাম মোস্তফা বাবু	- জাতীয় পাটি	লাঙ্গল	
২৯৫	ত৬ বগুড়া-১	কে এস এম মোস্তাফিজুর রহমান	স্বতন্ত্র	ঈগল	
